,0
0,THE WHITE WOMEN ARE COMING
1,FALL CAN OFFICIALLY START NOW
2,They droppin an album
3,AHHHH ITS OFFICIALLY GILMORE GIRLS SEASONNNN
4,OH MY GOURD. I AM SO HAPPY. COUNTING DOWN THE SECONDS.
5,Y’all bringing back that pumpkin stuff? I think I’m gonna try it for the first time this year 🥺
6,I’m probably going to get the pumpkin cream cold brew tomorrow lol
7,No. 8/24 is Kobe Day. Y'all ain't stealing it with the liquid preference of Karens everywhere.
8,APPLE CRISP 🍎 APPLE CRISP 🍎 APPLE CRISP 🍎
9,Will it be 100+ degrees in Chicago? Yes. Will it stop me from getting a PSL? Absolutely not.
10,IM UNWELL
11,20 years later and I still tear up each time it’s announced
12,Is it going to be vegan this year?
13,Please consider a dairy free pumpkin spice option!!
14,I CANT WAIT
15,my office mugs are ready ☕🎃
16,🤣🤣🤣💁🏼‍♀️💁🏼‍♀️💁🏼‍♀️
17,@nataliesletto salted caramel mocha or I’m cry
18,Basic girls favorite season 🙌😂😂😂 @stasimusacchia #icanteven
19,It’s the most wonderful time of the year 🎃 @nurse.keri
20,@cortneynharrison ! (that’s tomorrow)
21,@corinnebickford 🙌🎃
22,@janie.kay.okay we’re now busy tomorrow
23,the prophecies foretold of this day 🎃
24,🙌 🎃🙌🎃
25,@itsmechrisk 🎃🎃🎃🎃🎃🎃🎃🎃
26,Happy first day of FALL 🍂 y’all!!! 👱🏻‍♀️👨🏾‍🦱👩🏻‍💼👨🏻‍🎤👩🏼 Cheers 🍻 to the true basic ☕️🥰 bitches 💫🌝 that we are!!!❣️or should I say basic witches 👻🕸🕷!!!! tis the season! @alexwardle @kathrynschuyler @aestolte @mdpgraphy
27,@apriljohhnson 🫡
28,@ashleyyy_1992
29,@hayneszachh
30,@sarbearlabelle
31,@mrsmccreery15 👀🎃
32,PUMPKIN SPICE SZN 🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡
33,@__rhiii_ ❤️😭 it’s a beautiful day lol
34,@keri83 👏👏👏
35,@jennymomx2js
36,@toreytdavis @hailey_tucker13 @anna_grace_tucker
37,@marissa._williamss
38,@starbucksfrance 🥺🙏🏻
39,@ivonnevela83
40,@starbucks buzzing to get my pumpkin latte only for my startbucks not to have it 😪 day ruined
41,@clauds.gagnon
42,@hayshimg
43,Yyyeeessssss!!!!!
44,@nicolenailtech
45,@jmvitali18 👀👀
46,@_taylorpavan
47,Yessssss
48,@jessycat9 🎃
49,omg yayyyyy
50,5 star content Starbucks well done 🔥
51,Hook this up to an IV and send it into me
52,Y’all could at least wait til our fave season ends 🎃🙃
53,When will the UK get the 🎃?
54,Excited for Pumpkin season button 🎃——>
55,When does Starbucks in the UK get it then?
56,Can u bring out the Christmas drinks already no one likes octobers
57,Shaken brown sugar espresso with pumpkin cold foam 👏🎃
58,they ain’t even gotta type words and the pumpkin spice crack addicts are already on the way
59,@3danigirl4 IT’S TIME!!!! 🎃 ☕️
60,@nikos_papageorgiou97 this better be real 😂
61,@joanne266 won’t be long 😍
62,Got my apple crisp oat milk macchiato this morning 🍎 🍁 🍂
63,@hey.laura.dlao 😍
64,@nvyadams THINGS. ARE. HAPPENING. 🎃
65,That’s my birthday!😍❤️🙌🏻🎃
66,@madamedithello 😍🎃
67,@kirstiejwx 👀👀👀
68,Thank God
69,I’m READY!!!!!
70,Cosy szn is here 🎃
71,EEEEEEE
72,ITS HAPPENING!!!
73,It’s the season 🎃🎃🎃
74,our eyes are peeled 🎃
75,Clocking in for team 🍏🍎
76,some would say this is the best day of the year. that some is me
77,YESSSS
78,We can’t wait 😍😍😍
79,Not us running as fast as we can to get in line! 🏃‍♀️💨🤩💜
80,make it vegan
81,@esquiveljen_ 🤭
82,@ayo_kacy 😜
83,@its_kaiaaaa
84,The scone i need the scone all i want is the scone
85,CANT WAITTT
86,Is it dropping on the 24th in London too?
87,@shannon323
88,GOT MINE TODAY!!
89,@lissy_emily omggggg I might cry 😭😍😍🤣
90,@smzajic !!!!
91,BASIC SZNS BACK✨🤪🍂
92,Pumpkin spice latte!!!? Is it available in Europe as well ?
93,WE RISE 🙌🏼🧡
94,"@hersandybeach your post came up, then this came up on a friends story right after. Synchronicity for the win."
95,@brandydm1 happy birthday! 🎃
96,YESSSSSS! Been waiting for this since the beginning of summer!!!! 🎃🎃🎃🎃🎃
97,BEST DAY EVER
98,Y’all just said to hell with the smoked butterscotch huh
99,@_katiemouser_
100,@1207mcmt
101,@valadez_44
102,@angeleeza_
103,@khendry25x
104,Ah i feel bad ordering it! The staff was overwhelmed and made my pumpkin spice cream very watery and not foamy
